English,Nepali,en_len,ne_len
"When greater is allowed, less is also deemed to be allowed.",ठूलो विषयको अनुमति दिएको छ भने साना विषयको पनि अनुमति दिएको मानिन्छ ।,11,13
"Right to protection: Every child shall have the right to obtain proper care, protection, maintenance, love and affection from his or her father, mother, other member of family or guardian","संरक्षणको अधिकार: प्रत्येक बालबालिकालाई आफ्नो बाबु, आमा, परिवारका अन्य सदस्य वा संरक्षकबाट उचित हेरचाह, संरक्षण, पालनपोषण र माया प्राप्त गर्ने अधिकार हुनेछ",30,22
A child whose paternal identity is not known may use his or her mother's surname after his or her name,पितृत्वको ठेगान नलागेका बालबालिकाले आफ्नो नाम पछाडि आमाको थर प्रयोग गर्न पाउनेछ,20,12
Each health institution shall have to maintain a record revealing the number of the dead infants and the women who have undergone miscarriage or abortion,प्रत्येक स्वास्थ्य संस्थाले मृतक शिशु तथा गर्भपतन भएका तथा गराएका महिलाको सङ्ख्या समेत खुल्ने गरी अभिलेख गर्नु पर्नेछ,25,18
"To provide educational materials: The Local Level may provide educational materials, including copies, pens to the children who are economically destitute and admitted to the public school to acquire education up to the basic level","शैक्षिक सामग्री प्रदान गर्नेः स्थानीय तहले आधारभूत तहसम्मको शिक्षा प्राप्त गर्न सार्वजनिक विद्यालयमा भर्ना भएका आर्थिक रूपमा विपन्न बालबालिकालाई आवश्यक पर्ने कापी, कलम लगायतका शैक्षिक सामग्री प्रदान गर्न सक्नेछ",35,29
"Power to terminate Transactions: A Liquidator may terminate the following transactions of a bank or financial institution within six month of the date of order issued by the court for mandatory liquidation of the bank or financial institution:- Any contract concluded by the bank or financial institution concerning employment, Any contract concluded for any services in which the bank or financial institution is a party, All functions and contracts being carried out by the bank or financial institution in its capacity as a trustee, Any regular function or business of the bank or financial institution or branches of the bank or financial institution according to the need and circumstances, Any liabilities said to be borne by the bank or financial institution without any limit, Other functions or proceedings as specified by the Rastra Bank","कारोबार अन्त्य गर्न सक्ने : लिक्विडेटरले बैङ्क वा वित्तीय संस्थाका बाध्यात्मक खारेजीको काम कारबाही प्रारम्भ गर्न अदालतले आदेश दिएको मितिले छ महिनाभित्र त्यस्तो बैङ्क वा वित्तीय संस्थाको निम्न कारोबार अन्त्य गर्न सक्नेछ :- बैङ्क वा वित्तीय संस्थाले गरेको रोजगारी सम्बन्धी कुनै करार, बैङ्क वा वित्तीय संस्था पक्ष भएको कुनै पनि सेवा बापत गरिएको करार, बैङ्क वा वित्तीय संस्थाले संरक्षक (ट्रष्टी) को हैसियतमा गर्दै आएका सम्पूर्ण कार्य तथा करार, आवश्यकता र परिस्थिति बमोजिम बैङ्क वा वित्तीय संस्था वा बैङ्क वा वित्तीय संस्थाका शाखा कार्यालयका कुनै पनि नियमित काम कारबाही, कुनै सीमा बिना बैङ्क वा वित्तीय संस्थाले दायित्व बहन गर्नु पर्ने भनी भए गरेका कुनै पनि दायित्व, राष्ट्र बैङ्कले तोकेको अन्य काम कारबाही",134,111
"If an order is made under sub-section , the Court shall write to the Central Authority to that end",उपदफा बमोजिम आदेश भएकोमा अदालतले केन्द्रीय अधिकारी समक्ष लेखी पठाउनु पर्नेछ,19,11
"Every year after the closure of the year, the Fund shall give an endorsement letter or annual statements to every employee, setting out, interalia, the amounts deducted every month from the salary of the employee, amount added by the office*’ and other deductions and additions and interest accrued on the amounts so paid.",कोषले प्रत्यक वर्ष साल तमाम भएपछि कर्मचारीको तलबबाट महिना महिनामा कट्टी भएको रकम न्कार्यालयबाट थप भएको रकम र अन्य कट्टी वा थप भएको रकम तथा त्यसरी जम्मा हुदै आएको रकममा पाएको भ्व्याज समेत खुलाई समर्थनपत्र वा वार्षिक विवरण कर्मचारीलाई दिनेछ ।,53,41
"In lending a loan or advance against the security of an immovable property to any industry, enterprise, body corporate or employee, the Fund may specify the repayment period of more than Five years.",कोषले लिने र दिने ब्याज दर कोषले तोकिदिए बमोजिम हुनेछ ।,33,11
Standards to be prescribed : The Council may prescribe the standards that educational institution related to animal health and livestock service shall comply with the implementation of such educational programs,मापदण्ड तोक्न सक्नेः परिषद्ले पशु स्वास्थ्य तथा पशु सेवा व्यवसाय सम्बन्धी शिक्षण संस्थाले शैक्षिक कार्यक्रम सञ्चालन गर्दा पूरा गर्नु पर्ने शर्त तथा मापदण्ड तोक्न सक्नेछ,30,25
Application of jurisdiction of Court: All the members shall collectively exercise the jurisdiction of the Court,अदालतको अधिकार क्षेत्रको प्रयोग; अदालतको अधिकारक्षेत्रको प्रयोग सबै सदस्यले सामूहिक रूपमा गर्नेछन्‌,16,12
To protect local knowledge and traditional food culture related to agro products.,कृषि उत्पादनसँग सम्बन्धित स्थानीय ज्ञान तथा परम्परागत खाद्य संस्कृतिको संरक्षण गर्ने।,12,11
"Notwithstanding anything contained in Sub-Section , until and unless the Rastra Bank receives a written notification of the approval from the Securities Board to register the prospectus, the Rastra Bank shall not register such prospectus",उपदफा मा जुनसुकै कुरा लेखिएको भए तापनि धितोपत्र बोर्डबाट विवरणपत्र दर्ता गर्ने सम्बन्धमा स्वीकृति प्रदान गरेको जानकारी लिखित रुपमा प्राप्त नगरेसम्म राष्ट्र बैङ्कले त्यस्तो विवरणपत्र दर्ता गर्ने छैन,35,28
Something given in the return of something else. (The consideration for a contract. That which is supplied by one party in consideration of that which is supplied by the other party.),"प्रतिकूल, कुनै कुरा प्राप्त गर्ने दिइएको कुनै कुरा ।",31,9
The amount of Fund deduction shall be deducted compulsorily.,कोष कट्टीको रकम अनिवार्य रुपले काटिनेछ ।,9,7
No fees shall be charged for any complaints filed in accordance with this Act,यस ऐन बमोजिम आयोगमा उजुरी दिँदा कुनै दस्तुर लाग्ने छैन,14,10
Liquid Assets to be Maintained: A bank or financial institution shall maintain liquid assets as may be prescribed by the Rastra Bank from time to time,तरल सम्पत्ति कायम गर्नु पर्ने : बैङ्क वा वित्तीय संस्थाले राष्ट्र बैङ्क समय समयमा तोके बमोजिमको तरल सम्पत्ति कायम राख्नु पर्नेछ,26,21
The provisions relating to resettlement pursuant to this Section shall be in accordance with the provisions made by the concerned public body,यस दफा बमोजिम पुनर्वास गर्ने सम्बन्धी व्यवस्था सम्बन्धित सार्वजनिक निकायले व्यवस्था गरे बमोजिम हुनेछ,22,14
Any health institution may conduct specialist's service through mobile camps by obtaining permission from the prescribed body of the concerned Province.,कुनै स्वास्थ्य संस्थाले सम्बन्धित प्रदेशको तोकिएको निकायबाट अनुमति लिई घुम्ती शिविरहरू मार्फत विशेषज्ञ सेवाहरू सञ्चालन गर्न सक्नेछ।,21,17
"Written authority given to the Rastra Bank to allow it to conduct or to cause to conduct an inquiry as to the financial and professional background of the applicant and to share such notice and information, An undertaking that the deposits to the limits as prescribed by the Rastra Bank will be guaranteed, Other details or documents as specified by the Rastra Bank from time to time","निवेदकको वित्तीय तथा व्यावसायिक पृष्ठभूमिको सम्बन्धमा जाँचबुझ गर्न वा गराउन वा त्यस्तो सूचना तथा जानकारी आदान प्रदान गर्न गराउन राष्ट्र बैङ्लाई दिएको लिखित अख्तियारी, राष्ट्र बैङ्बाट तोकिएको सीमासम्मको निक्षेप सुरक्षण गर्ने प्रतिबद्धता, राष्ट्र बैङ्कल समय समयमा तोकिदिएको अन्य विवरण तथा कागजात",67,41
Formation of the Council: The Council shall consist of the following members:- One person appointed by the Government of Nepal from amongst the persons registered as at least a Class “B” animal health and livestock service professionals with five years of experience,"परिषद्को गठनः परिषद्मा देहाय बमोजिमका सदस्य रहनेछन्‌ :- णणशु स्वास्थ्य तथा पशु सेवा व्यवसायीको रुपमा कम्तीमा ""ख श्रेणी"" मा दर्ता भएको र पाँच बर्ष अनुभव प्राप्त गरेका पशु स्वास्थ्य तथा पशु सेवा व्यवसायीमध्येबाट नेपाल सरकारबाट मनोनित एकजना",42,37
Service delivery at provincial level.,"सार्वजनिक स्वास्थ्य उपभोक्ता हित, सार्वजनिक सेवा प्रवाहको गुणस्तर सम्बन्धमा प्रदेशस्तरको नियमन ।",5,12
The law of one's country.,आफ्नै मुलुकको कानून (राष्ट्रिय कानून) ।,5,6
"The report made pursuant to sub-section shall inter-alia, include the following matters, in addition to other details: Details of implementation of annual programs of the Commission and expenses incurred, Details of suggestions, recommendations given by the Commission to Nepal Government or any other agency, The status of the implementation of the suggestions, recommendations given in accordance to clause, Situation of physical and economic resources of the Commission and their utilization, Details of other activities performed by the Commission in course of fulfilling the responsibilities required to be performed by it, in accordance to this Act","उपदफा बमोजिमको वार्षिक प्रतिवेदनमा अन्य विषयको अतिरिक्त देहायका विषय समेत समावेश गर्नु पर्नेछ: आयोगको वार्षिक कार्यक्रमको कार्यान्वयनको विवरण तथा लागत खर्च, आयोगले नेपाल सरकार वा अन्य कुनै निकायलाई दिएको सिफारिस तथा सुझावको विवरण, खण्ड बमोजिमको सिफारिस तथा सुझाव कार्यान्वयनको अवस्था, आयोगको आर्थिक तथा भौतिक स्रोत साधन तथा त्यसको उपयोगको अवस्था, यस ऐन बमोजिम आयोगले पूरा गर्नु पर्ने दायित्व निर्वाहका सम्बन्धमा गरिएको अन्य काम कारबाहीको विवरण",95,65
"Any member interested to discuss additional issues, not included within the list of agenda set to be discussed in the meeting pursuant to sub- section, shall notify the Secretary of those additional issues and reason for their introduction to the meeting 24 hours prior to the meeting",कुनै सदस्यले उपदफा बमोजिम बैठकमा छलफल हुने विषय सूचीमा उल्लिखित विषयको अतिरिक्त अन्य कुनै विषयमा छलफल गराउन चाहेमा त्यसरी छलफल गर्न चाहेको विषय र कारण सहितको सूचना बैठक बस्नुभन्दा कम्तीमा चौबीस घण्टा अगावै आयोगको सचिवलाई दिनुपर्नेछ,47,36
"If the Liquidator appointed pursuant to Sub-Section tenders his or her resignation, dies or the Rastra Bank deems that he/she is incompetent to perform the prescribed functions, the Rastra Bank shall file an application to the court according to this Section to appoint another Liquidator by removing such a liquidator","उपदफा बमोजिम नियुक्ति भएको लिक्विडेटरले राजीनामा दिएमा, निजको मृत्यु भएमा वा निज तोकिएको कार्य सम्पादन गर्न असक्षम भएको कुरा राष्ट्र बैङ्खलाई लागेमा राष्ट्र बैङ्कले निजलाई हटाई अर्को लिक्विडटर नियुक्ति गरी पाउन यस दफा बमोजिम अदालत समक्ष निवेदन दिनु पर्नेछ",50,39
The Secretary of the Judicial Council or gazetted employee of federal judicial service as prescribed by the Judicial Council shall perform the work of Secretary of the Inquiry Committee,जाँचबुझ समितिको सचिवको काम न्याय परिषदको सचिव वा न्याय परिषदले तोकेको सङ्घीय न्याय सेवाको राजपत्रांकित कर्मचारीले गर्नेछ,29,17
"Provided that, before receiving any support, assistance or amount from a foreign person, institution or government, except a non-Nepali resident, prior consent of the Ministry of Finance, the Government of Nepal, shall be obtained","तर गैरआवासीय नेपाली बाहेक विदेशी व्यक्ति, संस्था वा सरकारबाट कुनै सहायता, सहयोग वा रकम प्राप्त गर्नु अघि नेपाल सरकार, अर्थ मन्त्रालयको पूर्वसहमति लिनु पर्नेछ",34,24
"A civil action, as distinguished from a criminal action.",देवानी विवाद सम्बन्धी उजुरी ।,9,5
"A bank or financial institution shall write to the concerned office to withhold any property which it has taken as collateral security against a credit pursuant to this Section in the name of the bank or financial institution so that such property may not be registered in the name of, or transferred to, any person in any manner whatsoever",यस दफा बमोजिम कर्जाको सुरक्षण बापत लिएको सम्पत्ति कुनै पनि व्यहोराबाट कसैका नाउँमा रजिष्ट्रेशन वा दाखिल खारेज गर्न वा हस्तान्तरण हुन नसक्ने गरी बैङ्क वा वित्तीय संस्थाको नाममा रजिष्ट्रेशन वा दाखिल खारेज वा रोक्का राखिदिनको लागि बैङ्क वा वित्तीय संस्थाले सम्बन्धित कार्यालयमा लेखी पठाउनु पर्नेछ,59,45
"Provided that this term does not mean the family any of the members who have settled, dealing with his or her own occupation and business after separation of bread and board and partition under law",तर सो शब्दले कानून बमोजिम अंशबण्डा गरी मानो छुट्टिई आ-आफ्नो पेशा व्यवसाय गरी बसेको परिवारको सदस्यलाई जनाउने छैन,35,18
"Notwithstanding anything contained in sub-section , in the case of a patent and new medicine, it shall not prevent from recommending with the brand name.",उपदफा मा जुनसुकै कुरा लेखिएको भए तापनि पेटेन्ट र नयाँ औषधिको हकमा ब्राण्ड नाममा सिफारिस गर्न बाधा पर्ने छैन।,25,19
"The term of office of members nominated and elected, as the case may be, in accordance with sub-section shall be for a period of four years",उपदफा बमोजिम मनोनित तथा निर्वाचित सदस्यहरुको पदावधि चार वर्षको हुनेछ,26,10
A Director chosen by the Directors from among themselves by a majority votes shall be the Chairperson of the Board of Directors,सञ्चालकले आफूमध्ये बहुमतबाट छानेको व्यक्ति सञ्चालक समितिको अध्यक्ष हुनेछ,22,9
"“Electronic transaction” means and includes the business of accepting deposits, making payments and transferring funds through telephone, telex, computers or magnetic tapes or other electronic equipment of a similar nature and transactions to be carried out through terminal, automated teller machines and cash dispensing machines, as well as those to be carried out through charge cards, debit or credit cards","""विद्युतीय कारोबार” भन्नाले टेलिफोन, टेलेक्स, कम्प्युटर वा म्याग्नेटिक टेप वा त्यस्तै प्रकारका अन्य विद्युतीय उपकरणको माध्यमबाट निक्षेप लिने, भुक्तानी दिने, रकमान्तर गर्ने कारोबार सम्झनु पर्छ र सो शाब्दले टर्मिनल, अटोमेटेड टेलर मेसिन र क्यास डिस्पेन्सिङ्ग मेसिनको माध्यमबाट हुने कारोबार, चार्ज कार्ड, डेबिट वा क्रेडिट कार्डबाट हुने कारोबार समेतलाई जनाउँछ",60,49
An action to recover items of property delivered shortly before a divorce.,सम्बन्ध विच्छेद हुनु भन्दा तुरुन्त अगाडि दिइएको धनमाल फिर्ता लिन गरिने उजुरी,12,12
An award is a judgment.,मध्यस्थकर्ताको निर्णय नै (फैसला) हो ।,5,6
"If only year has been mentioned in a certificate and full date of birth has been mentioned in other certificate submitted by the Judge and if there is difference upto only one year between in the dates of birth as mentioned in those certificates, it shall be based on the certificate where full date of birth has been mentioned",न्यायाधीशले पेश गरेको कुनै प्रमाणपत्रमा वर्ष मात्र उल्लेख भएको र अर्को प्रमाणपत्रमा पूरा जन्म मिति खुलेको भएमा र सो प्रमाणपत्रमा उल्लिखित जन्म मितिहरूको बीचमा एक वर्षसम्मको अन्तर देखिएमा पूरा जन्म मिति खुलेकोलाई आधार लिइनेछ,59,34
"If all three Members have divergent opinion, the opinion of the Chairperson prevails on the procedural matters and if it is on decision or final order it shall be forwarded to the concerned High Court for the decision, by specifying the reasons for not being able to issue a decision or final order",उपदफा बमोजिमको इजलासमा मुद्वाको कार्यविधिगत विषयमा तीन जना सदस्यको फरक फरक राय भएमा अध्यक्षको राय बमोजिम र मुद्दाको निर्णय वा अन्तिम आदेश भए निर्णय वा अन्तिम आदेश हुन नसकेको विवरण उल्लेख गरी निर्णयको लागि सम्बन्धित उच्च अदालतमा पठाउनु पर्नेछ,53,39
To another day.,अर्को दिनको लागि ।,3,4
Meeting of the Commission: The meeting of the Commission shall decide the activities of the Commission to be performed in accordance with the Constitution and this Act.,१७ आयोगको बैठक : संविधान वा यस ऐन बमोजिम गर्नु पर्ने काम आयोगको बैठकको निर्णय बमोजिम हुनेछ ।,27,18
"If the Rastra Bank is satisfied upon inquiry carried out pursuant to Sub-Section (3), that the merger or acquisition would not have any negative impact on the development of banking and financial system of the nation and in fair competition and compliance with the prevailing laws, it may grant approval in principle for further continuation with the process of merger or acquisition and while giving such approval, it may specify additional conditions or issue additional directives","उपदफा बमोजिम गरिएको जाँचबुझबाट बैङ्क वा वित्तीय संस्था गाभ्दा वा गाभिदा वा बैङ्क वा वित्तीय संस्था प्राप्ति गर्दा राष्ट्रको बैङ्किङ तथा वित्तीय प्रणालीको विकास, स्वच्छ प्रतिस्पर्धा तथा प्रचलित कानूनको पालनामा कुनै पनि किसिमको नकारात्मक असर पर्ने छैन भन्ने कुरामा राष्ट्र बैङ्क सन्तुष्ट भएमा त्यस्तो बैङ्क वा वित्तीय संस्थालाई गाभ्ने वा गाभिने वा बैङ्क वा वित्तीय संस्था प्राप्ति गर्ने प्रक्रिया अगाडि बढाउन सैद्धान्तिक सहमति दिन सक्नेछ र यसरी सहमति दिँदा राष्ट्र बैङ्कले शर्त तोक्न वा निर्देशन दिन समेत सक्नेछ",76,78
"Notwithstanding anything continued in sub-section (2), the Province may enact on, or implement such matters where a federal law is not enacted on such matters.",संविधानको अनुसूची-९ को विषयमा सङ्घीय कानून नबनेको अवस्थामा प्रदेशले र सङ्घीय वा प्रदेश कानून नबनेको अवस्थामा स्थानीय तहले संविधान र यस ऐनको अधीनमा रही आवश्यक कानून बनाउन वा सो विषयको कार्यान्वयन गर्न सक्नेछन्‌।,25,33
"""Articles of Association"" means the Articles of Association of a bank or financial institution framed pursuant to the prevailing laws relating to companies","""नियमावली"" भन्नाले कम्पनी सम्बन्धी प्रचलित कानून बमोजिम बनाइएको बैङ्क वा वित्तीय संस्थाको नियमावली सम्झनु पर्छ",23,15
to maintain coordination in the functions of the Market Monitoring Team and Local Monitoring Committee,बजार अनुगमन टोली तथा स्थानीय अनुगमन समितिको काम कारबाहीमा समन्वय कायम गर्ने,15,12
"The first part of the period of childhood between infancy (upto 7 years) and puberty (12 years); childhood; (pueritia, infancy; the first half of the period of childhood (pueritia), extending from seven years to ten and a half.)",गर्भ देखि बाल्यकाल (सात वर्ष सम्म) सम्मको बाल्यकालको पहिलो अवस्था ।,38,11
"This Act to prevail: The matters set forth in this Act shall be governed by this Act, and the other matters shall be governed by the prevailing law",यसै ऐन बमोजिम हुनेः यस ऐनमा लेखिएको विषयमा यसै ऐन बमोजिम र अन्य कुरामा प्रचलित कानून बमोजिम हुनेछ,28,18
"""Goods"" means the substance which the consumers consume or use or the materials made of the mixture of goods which do not inflict harm and injury or any kind of side effect to health, and this term also includes the raw material, colour, fragrance or chemical to be used in the production of such goods","“वस्तु” भन्नाले उपभोक्ताले उपभोग वा प्रयोग गर्ने वस्तु वा वस्तुहरूको सम्मिश्रणबाट बनेको स्वास्थ्यलाई हानि, नोक्सानी वा कुनै किसिमको नकारात्मक प्रभाव (साइड इफेक्ट) नगर्ने पदार्थ सम्झनु पर्छ र सो शब्दले त्यस्तो वस्तुको निर्माणमा प्रयोग हुने कच्चा पदार्थ, रङ, सुगन्ध वा रसायनलाई समेत जनाउँछ",55,42
One who has once renounced an action cannot bring it again.,"जसले एक पटक कुनै काम (दाबी) परित्याग गरेको हुन्छ, निजले त्यस्तो काम पुनः (अदालतमा) ल्याउन सक्दैन ।",11,17
"Power of Rastra Bank to Specify Conditions : The Rastra Bank may, while granting a license for carrying out banking and financial transactions pursuant to Section 34, specify the necessary terms and conditions by giving consideration to the existing condition of the bank or financial institution, healthy operation of financial transactions and interests of depositors","राष्ट्र बैङ्कले शर्त तोक्न सक्ने : दफा ३४ बमोजिम बैङ्किङ्ग तथा वित्तीय कारोबार गर्ने इजाजतपत्र प्रदान गर्दा बैङ्क वा वित्तीय संस्थाको विद्यमान अवस्था, वित्तीय कारोबारको स्वस्थ सञ्चालन तथा निक्षेपकर्ताको हितलाई ध्यानमा राखी राष्ट्र बैङ्कत आवश्यक शर्त तोक्न सक्नेछ",55,38
"In cases where the court finds from the application submitted pursuant to Sub-Section by a Liquidator that any of the following actions was carried out, the court may declare such an action null and void:- If a decision was made to offer a gift, If any act that cause may harm to the rights and interests of the creditors or depositors was committed, If payment was made or transferred before repayment of credits or the collateral was released, transferred or stroke out the title before the expiration of the term of the credit, If a contract was executed with a view to imposing additional liabilities on the bank or financial institution that the ones normally prevailing practice in the course of operating any business, If any agreement or transaction, other than those regular banking or financial transactions permissible under this Act, is found to have been executed, If a contract was made with a view to providing employment to the relevant persons","उपदफा बमोजिम लिक्विडेटरले पेश गरेको निवेदनमा अदालतले देहाय बमोजिमको कुनै काम कारबाही भएको देखेमा त्यस्तो काम कारबाही अमान्य र बदर भएको घोषणा गर्न सक्नेछ :- उपहार प्रदान गर्ने निर्णय गरिएको भएमा, निक्षेपकर्ता वा साहुहरूको हक हितलाई हानि नोक्सानी पुन्याउने कार्य गरिएको भएमा, कर्जा चुक्ता गर्नु पर्ने मितिभन्दा अगाडि नै गरिएको भुक्तानी वा हस्तान्तरण वा कर्जाको म्याद भुक्तान हुनु अघि नै धितोको फुकुवा, हस्तान्तरण वा दाखिल खारेज भएमा, कुनै काम कारोबारको सिलसिलामा बैङ्क वा वित्तीय संस्थालाई सामान्य वा प्रचलनमा रहेको भन्दा थप दायित्व पार्ने गरी करार भएको पाइएमा, यस ऐन बमोजिम गर्न पाउने नियमित बैङ्ङ्ग तथा वित्तीय कारोबारभन्दा फरक व्यवस्था गरी कुनै सम्झौता वा कारोबार भएको पाइएमा, सम्बद्ध व्यक्तिलाई रोजगारी दिने गरी करार गरिएको भएमा",162,114
Examination of application: The appropriate office as may be prescribed by the provincial law shall examine the application made pursuant to section 13 whether certificates as well as awards are recognized and the application meets requirements and make a decision to register or not the name of applicant in the register book,दरखास्त उपर कारबाही: दफा १२ बमोजिम पर्न आएको दरखास्त उपर प्रदेश कानून बमोजिम तोकिएको निकायले त्यसरी पेश भएको योग्यता सम्बन्धी प्रमाणपत्र र उपाधि मान्यता प्राप्त हो होइन र दरखास्त रीतपूर्वक छ छैन भन्ने कुरा समेत जाँचबुझ गरी प्रदेश कानूनले तोकेको अवधिभित्र दरखास्तवालाको नाम दर्ता किताबमा दर्ता गर्ने नगर्ने कुराको निर्णय गर्नु पर्नेछ,52,52
This Act shall come into force immediately.,यो ऐन तुरुन्त प्रारम्भ हुनेछ ।,7,6
"If any Nepali citizen submits an application in the mission for a new passport upon lost of his or her passport in the foreign country, the mission shall writ it to the Department to cancel such a passport specifying all the details of the passport holder and the passport number and such information shall also be provided to the Immigration office at Nepal, Ministry responsible for foreign affairs of the country where the concerned mission is located and the foreign missions in that country","कुनै नेपाली नागरिकको राहदानी विदेशमा हराई नयाँ राहदानीका लागि नियोगमा निवेदन दिएमा नियोगले राहदानीवाहकको सम्पूर्ण विवरण र राहदानी नम्बर समेत खुलाई हराएको राहदानी रद्द गर्नको लागि विभागमा लेखी पठाउनु पर्नेछ र सोको जानकारी नेपालस्थित अध्यागमन कार्यालय, सम्बन्धित नियोग रहेको मुलुकको विदेश मामिला हेर्ने मन्त्रालय र उक्त मुलुकमा रहेका विदेशी नियोगलाई समेत दिनु पर्नेछ",84,53
"Protection of agricultural occupation and promotion of livelihood of the farmer: The Government of Nepal, Provincial Government and Local Level shall make the following arrangements, with mutual coordination, on the basis of available resources and means in order to promote the livelihood of the farmers, by protecting agricultural occupation: To increase investment in the agro and food production sector.","कृषि पेशाको संरक्षण र किसानको जीवनस्तरको प्रवर्धन: नेपाल सरकार, प्रदेश सरकार र स्थानीय तहले पारस्परिक समन्वयमा कृषि पेशाको संरक्षण गरी किसानको जीवनस्तरको प्रवर्धन गर्न उपलब्ध स्रोत साधनको आधारमा देहाय बमोजिमको व्यवस्था मिलाउनेछः- कृषि तथा खाद्य उत्पादनको क्षेत्रमा लगानी अभिवृद्धि गर्ने।",59,40
Province means the Province constituted in accordance with the Constitution.,प्रदेश भन्नाले संविधान बमोजिम गठन भएको प्रदेश सम्झनु पर्छ ।,10,10
Provision of in camera bench: The trial and adjudication of the case against a child accused of an offence shall be carried out in camera bench except as otherwise ordered by the Juvenile Court,बन्द इजलासको व्यवस्था: कसूरजन्य कार्यको आरोप लागेको बालबालिका उपरको मुद्दाको सुनुवाइ तथा कारबाही बाल अदालतले अन्यथा आदेश दिएकोमा बाहेक बन्द इजलासमा गरिनेछ,34,22
The drug seller shall not sell and distribute any medicine without the prescription of the physician.,औषधि बिक्रताले चिकित्सकको सिफारिस विना कुनै पनि औषधि बिक्री वितरण गर्न पाउने छैन।,16,13
"Provision relating to Reconciliation: Notwithstanding anything contained elsewhere in this Act, if the concerned parties file a joint petition for reconciliation with respect to any complaint that is under consideration in the Commission, the Commission may have them reconciled on matters in which the prevailing laws allow for reconciliation",मेलमिलाप सम्बन्धी व्यवस्था: यस ऐनमा अन्यत्र जुनसुकै कुरा लेखिएको भए तापनि आयोगमा विचाराधीन रहेको कुनै उजुरीका सम्बन्धमा सम्बन्धित पक्षहरूले मेलमिलाप गराई पाउन संयुक्त निवेदन दिएमा आयोगले प्रचलित कानून बमोजिम मिलापत्र हुनसक्ने विषयमा मेलमिलाप गराई दिन सक्नेछ,49,36
"If a person nominated by an employee dies or if the employee so wishes despite he or she is alive, the employee may nominate another person in his or her stead or alter the contents set forth in the letter of nomination.",कर्मचारीले इच्छाएको व्यक्तिको मृत्यु भएमा वा निजको मृत्यु नभएपनि कर्मचारीले चाहेमा निजको सट्टा अर्को व्यक्तिलाई इच्छाउन वा इच्छाएको बेहोरामा हेरफेर गर्न सक्नेछ ।,42,23
No importer shall be allowed to import the tobacco products which do not meet the standards referred to in sub Section (1),उपनियम को खण्ड मा उल्लेतिख शून्य दशमलव पाँच (0.५) प्रतिशत रकममा नबढाई समितिले तोके बमोजिमको रकम समितिको प्रशासनिक कार्यको लागि खर्च गरिनेछ,22,22
"The Central Market Monitoring Committee referred to in sub-section shall consist of the following Members: Secretary, Ministry of Industry, Commerce and Supplies","उपदफा बमोजिमको केन्द्रीय बजार अनुगमन समितिमा देहाय बमोजिमका सदस्यहरू रहने छन्‌:- सचिव, उच्चोग, वाणिज्य तथा आपूर्ति मन्त्रालय",22,17
